swish-python-master,client.py,ignore_except_block,11
django-calaccess-raw-data-master,settings.py,ignore_except_block,124
django-calaccess-raw-data-master,analyzefielddocs.py,hardcoded_secret,55
django-calaccess-raw-data-master,createfielddocissues.py,hardcoded_secret,73
django-calaccess-raw-data-master,downloadcalaccessrawdata.py,ignore_except_block,92
django-calaccess-raw-data-master,downloadcalaccessrawdata.py,http_without_tls,241
django-calaccess-raw-data-master,documents.py,http_without_tls,52
django-calaccess-raw-data-master,test_docs.py,hardcoded_secret,244
django-cron-master,settings.py,debug_true,26
django-cron-master,__init__.py,ignore_except_block,109
django-cron-master,__init__.py,ignore_except_block,124
django-cron-master,tests.py,empty_password,104
django-cron-master,cache.py,ignore_except_block,65
reconspider-master,proxy.py,http_without_tls,32
reconspider-master,Username.py,http_without_tls,21
reconspider-master,macaddress.py,http_without_tls,5
reconspider-master,ipaddress.py,http_without_tls,40
reconspider-master,ipaddress.py,http_without_tls,71
reconspider-master,Phonenumber.py,http_without_tls,11
reconspider-master,subdomain.py,http_without_tls,9
reconspider-master,crawler.py,http_without_tls,26
reconspider-master,crawler.py,http_without_tls,39
reconspider-master,crawler.py,http_without_tls,75
reconspider-master,header.py,http_without_tls,13
reconspider-master,cmsdetect.py,hardcoded_secret,4
reconspider-master,cmsdetect.py,http_without_tls,6
reconspider-master,cors.py,http_without_tls,68
reconspider-master,cors.py,http_without_tls,76
reconspider-master,cors.py,http_without_tls,85
reconspider-master,cors.py,http_without_tls,99
reconspider-master,cors.py,http_without_tls,107
reconspider-master,cors.py,http_without_tls,116
reconspider-master,clickjacking.py,http_without_tls,14
reconspider-master,hostheader.py,http_without_tls,13
reconspider-master,updater.py,shell_injection,39
reconspider-master,updater.py,shell_injection,40
cookiecutter-aws-sam-python-master,test_hello_world_function.py,assert_used,17
cookiecutter-aws-sam-python-master,test_hello_world_function.py,assert_used,18
personfinder-master,test_tasks.py,assert_used,145
personfinder-master,test_tasks.py,assert_used,148
personfinder-master,test_tasks.py,assert_used,149
personfinder-master,test_tasks.py,assert_used,150
personfinder-master,test_tasks.py,assert_used,179
personfinder-master,test_tasks.py,assert_used,180
personfinder-master,test_tasks.py,assert_used,181
personfinder-master,test_tasks.py,assert_used,189
personfinder-master,test_full_text_search.py,assert_used,225
personfinder-master,test_full_text_search.py,assert_used,230
personfinder-master,test_full_text_search.py,assert_used,235
personfinder-master,test_full_text_search.py,assert_used,240
personfinder-master,test_full_text_search.py,assert_used,245
personfinder-master,test_full_text_search.py,assert_used,255
personfinder-master,test_full_text_search.py,assert_used,261
personfinder-master,test_full_text_search.py,assert_used,312
personfinder-master,test_full_text_search.py,assert_used,317
personfinder-master,test_full_text_search.py,assert_used,323
personfinder-master,test_full_text_search.py,assert_used,338
personfinder-master,test_full_text_search.py,assert_used,341
personfinder-master,test_full_text_search.py,assert_used,347
personfinder-master,test_full_text_search.py,assert_used,352
personfinder-master,test_full_text_search.py,assert_used,357
personfinder-master,test_full_text_search.py,assert_used,362
personfinder-master,test_full_text_search.py,assert_used,367
personfinder-master,test_full_text_search.py,assert_used,372
personfinder-master,test_full_text_search.py,assert_used,377
personfinder-master,test_full_text_search.py,assert_used,395
personfinder-master,test_full_text_search.py,assert_used,401
personfinder-master,test_full_text_search.py,assert_used,407
personfinder-master,test_api.py,assert_used,51
personfinder-master,test_api.py,assert_used,60
personfinder-master,test_api.py,assert_used,67
personfinder-master,test_model.py,assert_used,152
personfinder-master,test_model.py,assert_used,156
personfinder-master,test_model.py,assert_used,157
personfinder-master,test_model.py,assert_used,158
personfinder-master,test_model.py,assert_used,159
personfinder-master,test_model.py,assert_used,161
personfinder-master,test_model.py,assert_used,163
personfinder-master,test_model.py,assert_used,172
personfinder-master,test_model.py,assert_used,174
personfinder-master,test_model.py,assert_used,178
personfinder-master,test_model.py,assert_used,179
personfinder-master,test_model.py,assert_used,180
personfinder-master,test_model.py,assert_used,181
personfinder-master,test_model.py,assert_used,190
personfinder-master,test_model.py,assert_used,191
personfinder-master,test_model.py,assert_used,192
personfinder-master,test_model.py,assert_used,193
personfinder-master,test_model.py,assert_used,202
personfinder-master,test_model.py,assert_used,203
personfinder-master,test_model.py,assert_used,204
personfinder-master,test_model.py,assert_used,205
personfinder-master,test_model.py,assert_used,214
personfinder-master,test_model.py,assert_used,215
personfinder-master,test_model.py,assert_used,216
personfinder-master,test_model.py,assert_used,217
personfinder-master,test_model.py,assert_used,226
personfinder-master,test_model.py,assert_used,227
personfinder-master,test_model.py,assert_used,228
personfinder-master,test_model.py,assert_used,229
personfinder-master,test_model.py,assert_used,232
personfinder-master,test_model.py,assert_used,233
personfinder-master,test_model.py,assert_used,234
personfinder-master,test_model.py,assert_used,235
personfinder-master,test_model.py,assert_used,236
