15-minute-apps-master,use of weak cryptographic algorithm,1
15-minute-apps-master,ignoring except block,2
15-minute-apps-master,use of HTTP without TLS,1
2019_Python_Web_Dev-master,hard-coded secrets,2
2019_Python_Web_Dev-master,hard-coded tmp directories,1
2019_Python_Web_Dev-master,deployment with debug flag set to true,1
2019_Python_Web_Dev-master,ignoring except block,2
Amazon-Flipkart-Price-Comparison-Engine-master,ignoring except block,2
AmazonDjangoShop-master,hard-coded secrets,1
AmazonDjangoShop-master,deployment with debug flag set to true,1
AndroidGCMTutorial-master,deployment with debug flag set to true,1
AndroidGCMTutorial-master,ignoring except block,15
AndroidGCMTutorial-master,dynamic code execution,6
AndroidGCMTutorial-master,command injection,2
AndroidGCMTutorial-master,hard-coded tmp directories,4
AndroidGCMTutorial-master,empty password,2
AndroidGCMTutorial-master,hard-coded secrets,1
ArchiveBot-master,command injection,12
ArchiveBot-master,use of HTTP without TLS,1
ArchiveBot-master,ignoring except block,16
ArchiveBot-master,use of weak cryptographic algorithm,2
ArchiveBot-master,assert statement,19
AsyncAWS-master,assert statement,7
Automatic_tagging_of_clothing_in_E-Commerce-master,command injection,4
Big-Basket-Delivery-Slots-master,command injection,3
BillCipher-master,command injection,17
BillCipher-master,ignoring except block,29
BillCipher-master,use of HTTP without TLS,1
BillCipher-master,use of weak cryptographic algorithm,1
BizzMe-master,hard-coded secrets,3
BizzMe-master,deployment with debug flag set to true,1
BizzMe-master,ignoring except block,4
Building-RESTful-Python-Web-Services-master,deployment with debug flag set to true,23
Building-RESTful-Python-Web-Services-master,hard-coded secrets,18
Building-Serverless-Python-Web-Services-with-Zappa-master,hard-coded secrets,2
Building-Serverless-Python-Web-Services-with-Zappa-master,deployment with debug flag set to true,4
Building-Serverless-Python-Web-Services-with-Zappa-master,assert statement,2
Bus-Reservation-System-master,ignoring except block,480
Bus-Reservation-System-master,dynamic code execution,33
Bus-Reservation-System-master,command injection,38
Bus-Reservation-System-master,hard-coded secrets,60
Bus-Reservation-System-master,deployment with debug flag set to true,5
Bus-Reservation-System-master,empty password,26
Bus-Reservation-System-master,bad file permission,19
Bus-Reservation-System-master,assert statement,258
Bus-Reservation-System-master,hard-coded tmp directories,9
Bus-Reservation-System-master,use of HTTP without TLS,13
Bus-Reservation-System-master,use of weak cryptographic algorithm,9
Bus-Reservation-System-master,constructing sql statement upon user input,24
Bus-Reservation-System-master,insecure deserialization,7
Bus-Reservation-System-master,cross site scripting,60
Bus-Reservation-System-master,use of YAML load,1
CCXTSharp-master,ignoring except block,2
Cactus_Refactored-master,ignoring except block,9
Cactus_Refactored-master,command injection,4
Catsup-master,assert statement,1
Catsup-master,ignoring except block,2
Catsup-master,use of YAML load,1
Catsup-master,command injection,1
Catsup-master,dynamic code execution,2
Deeplack-master,command injection,5
Django-E-Commerce-master,hard-coded secrets,33
Django-E-Commerce-master,deployment with debug flag set to true,3
Django-E-Commerce-master,hard-coded tmp directories,8
Django-E-Commerce-master,cross site scripting,51
Django-E-Commerce-master,ignoring except block,308
Django-E-Commerce-master,dynamic code execution,7
Django-E-Commerce-master,use of HTTP without TLS,18
Django-E-Commerce-master,assert statement,132
Django-E-Commerce-master,empty password,25
Django-E-Commerce-master,bad file permission,7
Django-E-Commerce-master,command injection,26
Django-E-Commerce-master,use of weak cryptographic algorithm,6
Django-E-Commerce-master,constructing sql statement upon user input,10
Django-E-Commerce-master,insecure deserialization,4
Django-Ecommerce-master,deployment with debug flag set to true,3
Django-Ecommerce-master,hard-coded secrets,3
Django-Ecommerce-master,cross site scripting,5
Django-eCommerce-tutorial-manascode-master,deployment with debug flag set to true,1
E-Commerce-API-Python-master,deployment with debug flag set to true,5
E-Commerce-API-Python-master,hard-coded secrets,41
E-Commerce-API-Python-master,ignoring except block,393
E-Commerce-API-Python-master,dynamic code execution,79
E-Commerce-API-Python-master,command injection,48
E-Commerce-API-Python-master,assert statement,391
E-Commerce-API-Python-master,bad file permission,19
E-Commerce-API-Python-master,use of weak cryptographic algorithm,6
E-Commerce-API-Python-master,insecure deserialization,21
E-Commerce-API-Python-master,constructing sql statement upon user input,44
E-Commerce-API-Python-master,empty password,18
E-Commerce-API-Python-master,use of HTTP without TLS,6
E-Commerce-API-Python-master,hard-coded tmp directories,5
E-Commerce-Condiments-shop-master,deployment with debug flag set to true,3
E-Commerce-Condiments-shop-master,hard-coded secrets,3
E-Commerce-Condiments-shop-master,cross site scripting,5
E-Commerce-Website-master,cross site scripting,43
E-Commerce-Website-master,ignoring except block,523
E-Commerce-Website-master,assert statement,455
E-Commerce-Website-master,hard-coded secrets,35
E-Commerce-Website-master,empty password,39
E-Commerce-Website-master,use of weak cryptographic algorithm,6
E-Commerce-Website-master,constructing sql statement upon user input,23
E-Commerce-Website-master,dynamic code execution,33
E-Commerce-Website-master,use of HTTP without TLS,11
E-Commerce-Website-master,bad file permission,27
E-Commerce-Website-master,command injection,48
E-Commerce-Website-master,deployment with debug flag set to true,6
E-Commerce-Website-master,use of YAML load,1
E-Commerce-Website-master,insecure deserialization,8
E-Commerce-Website-master,hard-coded tmp directories,10
E-commerce-Site-Created-Using-Django-1.11.1-master,hard-coded secrets,4
E-commerce-Site-Created-Using-Django-1.11.1-master,deployment with debug flag set to true,1
E-commerce-Site-Created-Using-Django-1.11.1-master,ignoring except block,1
E-commerce-Website-CS50--master,ignoring except block,1
EWSWrapper_py-master,use of HTTP without TLS,2
EcommDB-master,deployment with debug flag set to true,2
Ecommerce-Product-price-monitoring-tool-using-Data-Analytics-Web-scraping-master,dynamic code execution,2
Eel-master,use of weak cryptographic algorithm,3
Eel-master,command injection,5
Eel-master,ignoring except block,1
Eel-master,assert statement,2
Eel-master,dynamic code execution,2
Emotion-Analysis-master,insecure deserialization,1
Emotion-Analysis-master,hard-coded secrets,1
Emotion-Analysis-master,deployment with debug flag set to true,1
Flask-Building-Python-Web-Services-master,deployment with debug flag set to true,46
Flask-Building-Python-Web-Services-master,hard-coded secrets,49
Flask-Building-Python-Web-Services-master,use of HTTP without TLS,3
Flask-MonitoringDashboard-master,empty password,3
Flask-MonitoringDashboard-master,ignoring except block,1
Flask-Scaffold-master,use of YAML load,1
Flask-Scaffold-master,hard-coded secrets,4
Flask-Scaffold-master,deployment with debug flag set to true,1
Flask-Scaffold-master,use of HTTP without TLS,3
Flask-Scaffold-master,hard-coded tmp directories,1
Flask-Scaffold-master,command injection,9
Flask-Scaffold-master,assert statement,7
Flask-Scaffold-master,ignoring except block,3
FlaskApiEcommerce-master,deployment with debug flag set to true,1
FlaskApiEcommerce-master,hard-coded secrets,6
FlaskApiEcommerce-master,use of weak cryptographic algorithm,6
FlaskApiEcommerce-master,empty password,1
FreeDiscovery-master,use of HTTP without TLS,8
FreeDiscovery-master,hard-coded secrets,2
FreeDiscovery-master,insecure deserialization,5
FreeDiscovery-master,ignoring except block,4
FreeDiscovery-master,use of weak cryptographic algorithm,1
FreeDiscovery-master,assert statement,1
Frobshop-master,hard-coded secrets,1
Frobshop-master,deployment with debug flag set to true,1
GeoHealthCheck-master,bad file permission,1
GeoHealthCheck-master,use of HTTP without TLS,6
GeoHealthCheck-master,ignoring except block,6
GeoHealthCheck-master,deployment with debug flag set to true,1
GeoHealthCheck-master,empty password,1
GeoHealthCheck-master,hard-coded secrets,2
GithubSpeedUp-master,use of HTTP without TLS,1
HanTTS-master,hard-coded secrets,1
HanTTS-master,use of HTTP without TLS,2
HanTTS-master,ignoring except block,2
HanTTS-master,command injection,1
Hands-On-RESTful-Python-Web-Services-Second-Edition-master,hard-coded secrets,17
Hands-On-RESTful-Python-Web-Services-Second-Edition-master,deployment with debug flag set to true,11
HawkScan-master,no certificate validation,25
HawkScan-master,command injection,42
HawkScan-master,ignoring except block,26
HawkScan-master,use of HTTP without TLS,1
HawkScan-master,use of weak cryptographic algorithm,2
ImitationTmall_Django-master,hard-coded secrets,13
ImitationTmall_Django-master,deployment with debug flag set to true,1
ImitationTmall_Django-master,cross site scripting,25
ImitationTmall_Django-master,ignoring except block,16
ImitationTmall_Django-master,assert statement,1
Instagram-Crawler-master,ignoring except block,1
Instagram-Crawler-master,hard-coded secrets,8
Instagram-Crawler-master,hard-coded tmp directories,2
Instagram-Crawler-master,use of HTTP without TLS,1
Instagram-Crawler-master,deployment with debug flag set to true,1
J-Kart-master,use of weak cryptographic algorithm,1
J-Kart-master,hard-coded secrets,1
J-Kart-master,deployment with debug flag set to true,1
J-Kart-master,ignoring except block,1
Kart-master,use of weak cryptographic algorithm,3
Kart-master,cross site scripting,2
Kart-master,ignoring except block,3
Kart-master,hard-coded secrets,10
Kart-master,deployment with debug flag set to true,2
KeenClient-Python-master,ignoring except block,1
KeenClient-Python-master,assert statement,8
KindleEar-master,ignoring except block,154
KindleEar-master,use of HTTP without TLS,54
KindleEar-master,hard-coded secrets,9
KindleEar-master,dynamic code execution,3
KindleEar-master,empty password,4
KindleEar-master,assert statement,22
KindleEar-master,command injection,6
KindleEar-master,use of YAML load,1
KindleEar-master,insecure deserialization,9
KindleEar-master,use of weak cryptographic algorithm,14
Lexos-master,use of HTTP without TLS,3
Lexos-master,assert statement,16
Lexos-master,insecure deserialization,4
Lexos-master,ignoring except block,8
Lexos-master,dynamic code execution,1
Lexos-master,hard-coded tmp directories,3
LinkedRW-master,command injection,18
LinkedRW-master,empty password,1
LinkedRW-master,ignoring except block,8
Look4Face-master,assert statement,1
Look4Face-master,hard-coded secrets,3
Look4Face-master,command injection,6
Look4Face-master,use of weak cryptographic algorithm,1
Look4Face-master,insecure deserialization,1
