use of assert statement,6540
ignoring except block,5923
command injection,1487
constructing sql statement upon user input,1311
use of HTTP without TLS,1057
insecure deserialization,948
dynamic code execution,537
hard-coded secrets,483
use of insecure YAML operations,390
cross site scripting,385
empty password,367
deployment with debug flag set to true,324
hard-coded IP address bindings,142
hard-coded tmp directories,102
no certificate validation,38
bad file permission,38
no integrity check,8
